Year;YearWeek;WeekNumber;StoreSales;Display;DM;DM_Insert;Facebook;OOH;Print;Search;TVC;Youtube;AvgNoPrecDay;Salary;ChristmansAndNewYear;Holidays
2013;201336;36;102791134;329557,5;1133254;0;0;0;715396;132357,336;1251247;0;0,531914894;0;0;0
2013;201337;37;99655906;1700;1032164;0;0;0;546885;123210,167;1355479;0;2,936170213;0;0;0
2013;201338;38;116320694;15845;1032164;0;64486;136782,5;1091388;98429,35783;1358298;0;3,787234043;0;0;0
2013;201339;39;153375967;59569,66667;1298345;1019470;22258,33333;66061,5;2213994;96429,2998;2000011;0;3;1;0;0
2013;201340;40;122233112;15449,25;1028730;16580;1166,666667;0;1031564;92611,05428;1154412;0;1,808510638;0;0;0
2013;201341;41;98437102;1730,083333;1036670;0;3000;0;582405;105957,7009;828296;0;3;0;0;0
2013;201342;42;97069665;570;1025617;0;3200;0;522885;117431,8121;1121439;33753,09447;3,404255319;0;0;0
2013;201343;43;103485352;0;1133612;0;0;137934;1325493;117541,8803;1516720;47290,74483;6,212765957;1;0;0
2013;201344;44;108684321;0;1022404;0;1600;137934;1221003;117447,5506;1041098;46358,81559;5,446808511;0;0;1
2013;201345;45;108442413;0;1033455;0;2500;0;1054110;118098,1336;1473273;0;5,255319149;0;0;0
2013;201346;46;100971910;0;1022274;0;5374,724976;474000;857899;100848,6215;1693419;45572,98317;3,212765957;0;0;0
2013;201347;47;104421712;0;1130173;0;10774,72498;474000;1366488;107639,7025;2027447;76032,80244;2,70212766;0;0;0
2013;201348;48;131295729;116116;1327303;1042829;55285;1180121;2125796;126494,1052;2331726;47373,71599;2,723404255;1;0;0
2013;201349;49;120829386;331670,8571;1133483;0;116900;1138121;1468245;118982,5535;2209429,5;122947,1366;5,659574468;0;0;0
2013;201350;50;158177957;86000;2266966;0;1499,329956;952550;429844;116832,0314;2582526,5;81296,21768;3,957446809;0;1;0
2013;201351;51;213558281;70403,14286;2267224;0;168777;952550;1295034;137629,2877;1941537;56864,8864;5,553191489;0;1;0
2013;201352;52;369615640;0;4010721;1090522;186246,6318;1094750;1196514;167385,4152;2645220;211238,6583;4,723404255;1;1;0
2014;201401;1;162497272;0;2557653;886707;170513,2906;0;738193;108904,7642;874093;179059,2036;5,468085106;0;1;0
2014;201402;2;112552522;0;1025686;0;2136,290604;0;636690;92642,84254;467847;0;6,319148936;0;1;0
2014;201403;3;87962053;0;1033298;0;5599,916048;0;522885;78166,08948;681018;0;5,042553191;0;0;0
2014;201404;4;102389038;0;1051222;0;4572,002583;0;1031564;92684,55475;468836;99998,83374;4,553191489;1;0;0
